333,333,Frank Ocean,male,32,person,,Beverly Hills,n/a,Long Beach,n/a,,
334,334,LANY,mixed,6,group,US,n/a,n/a,Nashville,n/a,,
335,335,Flume,male,28,person,AU,n/a,n/a,Sydney,n/a,,
336,336,Polo G,male,0,person,US,n/a,n/a,,,,
337,337,Kesha,female,33,person,US,n/a,n/a,Los Angeles,n/a,,
338,338,Bryant Myers,male,22,person,PR,n/a,n/a,Carolina,n/a,,
339,339,Gemitaiz,male,31,person,IT,n/a,n/a,Rome,n/a,,
340,340,Felipe Araújo,male,25,person,BR,n/a,n/a,Goiânia,n/a,,
341,341,Gustavo Mioto,male,23,person,BR,n/a,n/a,Votuporanga,n/a,,
342,342,Fall Out Boy,mixed,19,group,US,n/a,n/a,Wilmette,n/a,,
343,343,Noriel,male,26,person,PR,n/a,n/a,n/a,n/a,,
344,344,Oasis,mixed,29,group,GB,n/a,n/a,Manchester,n/a,Manchester,n/a
345,345,Zion,male,38,person,PR,n/a,n/a,Carolina,n/a,,
346,346,Bausa,male,31,person,DE,n/a,n/a,Saarbrücken,n/a,,
347,347,Sam Hunt,male,35,person,,Nashville,n/a,Cedartown,n/a,,
348,348,Kid Ink,male,34,person,US,n/a,n/a,Los Angeles,n/a,,
349,349,Lil Tjay,male,19,person,US,n/a,n/a,n/a,The Bronx,,
350,350,Descemer Bueno,male,49,person,CU,n/a,n/a,n/a,n/a,,
351,351,JAY Z,male,50,person,US,n/a,n/a,n/a,Brooklyn,,
352,352,Labrinth,male,31,person,GB,n/a,n/a,n/a,n/a,,
353,353,Luis Miguel,male,50,person,MX,n/a,n/a,San Juan,n/a,,
354,354,Dan Caplen,male,28,person,GB,n/a,n/a,London,n/a,,
355,355,Passenger,male,36,person,GB,n/a,n/a,n/a,n/a,,
356,356,Brando,male,0,person,,,,,,,
357,357,Nekfeu,male,30,person,FR,n/a,n/a,La Trinité,n/a,,
358,358,Megan Thee Stallion,female,25,person,,Houston,n/a,Houston,n/a,,
359,359,Digital Farm Animals,male,31,person,GB,n/a,n/a,n/a,Stanmore,,
360,360,Ricky Martin,male,48,person,PR,n/a,n/a,San Juan,n/a,,
